location,note
C409-G01-S01-P01,三层柜-第1层-位01
C409-G01-S01-P02,三层柜-第1层-位02
C409-G01-S01-P03,三层柜-第1层-位03
C409-G01-S01-P04,三层柜-第1层-位04
C409-G01-S01-P05,三层柜-第1层-位05
C409-G01-S01-P06,三层柜-第1层-位06
C409-G01-S01-P07,三层柜-第1层-位07
C409-G01-S01-P08,三层柜-第1层-位08
C409-G01-S01-P09,三层柜-第1层-位09
C409-G01-S01-P10,三层柜-第1层-位10
C409-G01-S02-P01,三层柜-第2层-位01
C409-G01-S02-P02,三层柜-第2层-位02
C409-G01-S02-P03,三层柜-第2层-位03
C409-G01-S02-P04,三层柜-第2层-位04
C409-G01-S02-P05,三层柜-第2层-位05
C409-G01-S02-P06,三层柜-第2层-位06
C409-G01-S02-P07,三层柜-第2层-位07
C409-G01-S02-P08,三层柜-第2层-位08
C409-G01-S02-P09,三层柜-第2层-位09
C409-G01-S02-P10,三层柜-第2层-位10
C409-G01-S03-P01,三层柜-第3层-位01
C409-G01-S03-P02,三层柜-第3层-位02
C409-G01-S03-P03,三层柜-第3层-位03
C409-G01-S03-P04,三层柜-第3层-位04
C409-G01-S03-P05,三层柜-第3层-位05
C409-G01-S03-P06,三层柜-第3层-位06
C409-G01-S03-P07,三层柜-第3层-位07
C409-G01-S03-P08,三层柜-第3层-位08
C409-G01-S03-P09,三层柜-第3层-位09
C409-G01-S03-P10,三层柜-第3层-位10
C409-G02-S01-P01,一层柜-第1层-位01
C409-G02-S01-P02,一层柜-第1层-位02
C409-G02-S01-P03,一层柜-第1层-位03
C409-G02-S01-P04,一层柜-第1层-位04
C409-G02-S01-P05,一层柜-第1层-位05
C409-G02-S01-P06,一层柜-第1层-位06
C409-G02-S01-P07,一层柜-第1层-位07
C409-G02-S01-P08,一层柜-第1层-位08
C409-G02-S01-P09,一层柜-第1层-位09
C409-G02-S01-P10,一层柜-第1层-位10
