序号,时间,名称,型号规格,单位,数量,单价(元),总额(元),项目
39,2026-02-13,CL21B105KBFNNNE,1uF ±10% 50V,pcs,100,0.0593,5.9300,PJ-001
40,2026-02-13,B2B-XH-A(LF)(SN),1x2P 间距:2.5mm 直插 系列:XH,pcs,60,0.2252,13.5120,PJ-001
41,2026-02-13,SS14,电压:40V 电流:1A,pcs,30,0.7449,22.3470,PJ-001
42,2026-02-13,PZ254V-11-02P,1x2P 间距:2.54mm 方针 直插,pcs,150,0.0813,12.1980,PJ-001
43,2026-02-13,KF301-5.0-2P,5mm 1x2P 排数:1 每排P数:2 直插,pcs,40,0.5591,22.3640,PJ-001
44,2026-02-13,TAJA105K035RNJ,1uF ±10% 35V,pcs,10,0.8816,8.8160,PJ-001
45,2026-02-13,NTZD3154NT1G,2个N沟道 耐压:20V 电流:540mA,pcs,20,0.2624,5.2480,PJ-001
46,2026-02-13,CSD18511Q5A,1个N沟道 耐压:40V 电流:100A,pcs,12,6.4600,77.5200,PJ-001
47,2026-02-13,LM74670QDGKTQ1,零IQ智能二极管整流器控制器,pcs,9,15.6400,140.7600,PJ-001
48,2026-02-13,2N7002,1个N沟道 耐压:60V 电流:115mA,pcs,50,0.0886,4.4300,PJ-001
49,2026-02-13,BSS84PH6327,1个P沟道 耐压:60V 电流:0.17A,pcs,10,0.3161,3.1610,PJ-001
50,2026-02-13,TAJD106K035RNJ,10uF ±10% 35V,pcs,6,2.1655,12.9930,PJ-001
51,2026-02-13,YPO5022-103M,10mH ±20% 350mA,pcs,3,3.7525,11.2575,PJ-001
52,2026-02-13,BSS138,1个N沟道 耐压:50V 电流:340mA,pcs,50,0.1080,5.4000,PJ-001
53,2026-02-13,RE1206F1R000,0mΩ 1W 1206 ±1%,pcs,10,0.2978,2.9783,PJ-001
54,2026-02-13,MAX40203AUK+T,"超微型纳米功率、1A理想二极管,超低电压降",pcs,3,4.9500,14.8500,PJ-001
55,2026-02-13,CL21B103KBANNNC,10nF ±10% 50V,pcs,50,0.0383,1.9150,PJ-001
56,2026-02-13,ZVNL110ASTZ,1个N沟道 耐压:100V 电流:320mA,pcs,3,3.3100,9.9300,PJ-001
57,2026-02-13,FRC0805J105 TS,1MΩ ±5% 125mW 厚膜电阻,pcs,100,0.0076,0.7568,PJ-001
58,2026-02-13,BAT54,电压:30V 电流:0.2A,pcs,50,0.0760,3.8000,PJ-001
59,2026-02-13,FCC0805B104K500DT,100nF ±10% 50V,pcs,100,0.0215,2.1500,PJ-001
60,2026-02-13,FRC0805J104 TS,100kΩ ±5% 125mW 厚膜电阻,pcs,100,0.0077,0.7656,PJ-001
61,2026-02-13,3362P-1-103,3362P-1-103,pcs,5,1.0036,5.0179,PJ-001
62,2026-02-13,LTC6906CS6#TRPBF,具微功率和 10kHz 至 1MHz 电阻器设定频率范围的 SOT-23 封装振荡器,pcs,3,35.2200,105.6600,PJ-001
63,2026-02-13,SN74LVC2G14DBVR,双路施密特触发反相器,pcs,10,0.4437,4.4370,PJ-001
64,2026-02-13,0805W8F1002T5E,10kΩ ±1% 125mW 厚膜电阻,pcs,500,0.0115,5.7500,PJ-001
65,2026-02-13,3306P-1-103,10kΩ ±25%,pcs,3,3.2100,9.6300,PJ-001
66,2026-02-13,3306P-1-503,50kΩ ±25%,pcs,3,4.0700,12.2100,PJ-001
67,2026-02-13,LM324DT,低功耗四路运算放大器,pcs,5,0.5820,2.9100,PJ-001
68,2026-02-13,REF3025AIDBZR,REF3025AIDBZR,pcs,5,1.5097,7.5485,PJ-001
69,2026-02-13,TMUX1119DCKR,5V、低泄漏电流、2:1精密开关,pcs,6,8.4000,50.4000,PJ-001
70,2026-02-13,MAX921ESA+T,超低功耗、单/双电源比较器,pcs,3,20.6973,62.0919,PJ-001
71,2026-02-13,0805B471K500NT,470pF ±10% 50V,pcs,100,0.0293,2.9300,PJ-001
72,2026-02-13,CL21A106KAYNNNE,10uF ±10% 25V,pcs,20,0.0650,1.3000,PJ-001
73,2026-02-13,RC0805DR-07301KL,厚膜电阻 301kΩ ±0.5% 125mW,pcs,50,0.0764,3.8200,PJ-001
74,2026-02-13,FRC0805J225 TS,2.2MΩ ±5% 125mW 厚膜电阻,pcs,100,0.0085,0.8455,PJ-001
75,2026-02-13,400BXW12MEFR10X16,12uF ±20% 400V,pcs,3,3.4100,10.2300,PJ-001
