序号,时间,名称,型号规格,单位,数量,单价(元),总额(元),领用人,领用时间,用途,项目
1,2026-02-13,1个N沟道 耐压:60V 电流:115mA,SOT-23,pcs,,,,,,,PJ-001
2,2026-02-13,1个N沟道 耐压:50V 电流:340mA,SOT-23,pcs,,,,,,,PJ-001
3,2026-02-13,1个P沟道 耐压:60V 电流:0.17A,SOT-23,pcs,,,,,,,PJ-001
4,2026-02-13,1个N沟道 耐压:40V 电流:100A,SON-8(5x6),pcs,,,,,,,PJ-001
5,2026-02-13,2个N沟道 耐压:20V 电流:540mA,SOT-563,pcs,,,,,,,PJ-001
6,2026-02-13,1个N沟道 耐压:100V 电流:320mA,TO-92-3,pcs,,,,,,,PJ-001
7,2026-02-13,电压:30V 电流:0.2A,SOT-23,pcs,,,,,,,PJ-001
8,2026-02-13,电压:40V 电流:1A,SMA(DO-214AC),pcs,,,,,,,PJ-001
9,2026-02-13,具微功率和 10kHz 至 1MHz 电阻器设定频率范围的 SOT-23 封装振荡器,TSOT-23-6,pcs,,,,,,,PJ-001
10,2026-02-13,470pF ±10% 50V,0805,pcs,,,,,,,PJ-001
11,2026-02-13,12uF ±20% 400V,"插件,D10xL16mm",pcs,,,,,,,PJ-001
12,2026-02-13,10uF ±10% 25V,0805,pcs,,,,,,,PJ-001
13,2026-02-13,10nF ±10% 50V,0805,pcs,,,,,,,PJ-001
14,2026-02-13,1uF ±10% 50V,0805,pcs,,,,,,,PJ-001
15,2026-02-13,100nF ±10% 50V,0805,pcs,,,,,,,PJ-001
16,2026-02-13,1uF ±10% 35V,CASE-A-3216-18(mm),pcs,,,,,,,PJ-001
17,2026-02-13,10uF ±10% 35V,CASE-D-7343-31(mm),pcs,,,,,,,PJ-001
18,2026-02-13,10mH ±20% 350mA,"SMD,18.8x15.5mm",pcs,,,,,,,PJ-001
19,2026-02-13,零IQ智能二极管整流器控制器,VSSOP-8,pcs,,,,,,,PJ-001
20,2026-02-13,"超微型纳米功率、1A理想二极管,超低电压降",SOT-23-5,pcs,,,,,,,PJ-001
21,2026-02-13,REF3025AIDBZR,SOT-23,pcs,,,,,,,PJ-001
22,2026-02-13,10kΩ ±1% 125mW 厚膜电阻,0805,pcs,,,,,,,PJ-001
23,2026-02-13,10kΩ ±25%,"插件-3P,8.1x6.8mm",pcs,,,,,,,PJ-001
24,2026-02-13,50kΩ ±25%,插件,pcs,,,,,,,PJ-001
25,2026-02-13,3362P-1-103,"插件-3P,7x6.8mm",pcs,,,,,,,PJ-001
26,2026-02-13,100kΩ ±5% 125mW 厚膜电阻,0805,pcs,,,,,,,PJ-001
27,2026-02-13,1MΩ ±5% 125mW 厚膜电阻,0805,pcs,,,,,,,PJ-001
28,2026-02-13,2.2MΩ ±5% 125mW 厚膜电阻,0805,pcs,,,,,,,PJ-001
29,2026-02-13,厚膜电阻 301kΩ ±0.5% 125mW,0805,pcs,,,,,,,PJ-001
30,2026-02-13,0mΩ 1W 1206 ±1%,1206,pcs,,,,,,,PJ-001
31,2026-02-13,低功耗四路运算放大器,SOIC-14,pcs,,,,,,,PJ-001
32,2026-02-13,超低功耗、单/双电源比较器,SOIC-8,pcs,,,,,,,PJ-001
33,2026-02-13,1x2P 间距:2.5mm 直插 系列:XH,"插件,P=2.5mm",pcs,,,,,,,PJ-001
34,2026-02-13,5mm 1x2P 排数:1 每排P数:2 直插,"插件,P=5mm",pcs,,,,,,,PJ-001
35,2026-02-13,1x2P 间距:2.54mm 方针 直插,"插件,P=2.54mm",pcs,,,,,,,PJ-001
36,2026-02-13,5V、低泄漏电流、2:1精密开关,SC-70-6,pcs,,,,,,,PJ-001
37,2026-02-13,双路施密特触发反相器,SOT-23-6,pcs,,,,,,,PJ-001
