ID	Designator	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	匹配结果	商品名称	参数	目录	商品编号	商品链接	渠道	交期	MOQ	MPQ	库存	购买数量	单价(RMB)	关税	小计(RMB)	备注	型号	品牌	封装
1	C1,C2,C9,C10,C11,C12,C13,C14	8	CL21B105KBFNNNE	SAMSUNG(三星)	LCSC	C28323	系统匹配	1uF ±10% 50V	容值:1uF 精度:±10% 额定电压:50V 温度系数:X7R	电容	C28323	https://item.szlcsc.com/29074.html	现货	4小时内发货	20	2000	4435620	40	0.0593	0	2.37	nan	CL21B105KBFNNNE	SAMSUNG(三星)	0805
2	CN2,CN5	2	B2B-XH-A(LF)(SN)	JST	LCSC	C158012	系统匹配	1x2P 间距:2.5mm 直插 系列:XH	插针结构:1x2P 间距:2.5mm 安装方式:直插 参考系列:XH 总PIN数:2P 排数:1 每排PIN数:2 额定电流:3A 触头材质:黄铜 触头镀层:锡 工作温度:-25℃~+85℃	连接器	C158012	https://item.szlcsc.com/169360.html	现货	4小时内发货	20	1000	408060	20	0.2252	0	4.5	nan	B2B-XH-A(LF)(SN)	JST	插件,P=2.5mm
3	D1,D2,D3,D4	4	SS14	onsemi(安森美)	LCSC	C83852	系统匹配	电压:40V 电流:1A	正向压降(Vf):500mV@1A 直流反向耐压(Vr):40V 整流电流:1A	二极管	C83852	https://item.szlcsc.com/85019.html	现货	4小时内发货	5	7500	96285	15	0.7449	0	11.17	nan	SS14	onsemi(安森美)	SMA(DO-214AC)
4	H1,H4,H5,H6	4	PZ254V-11-02P	XFCN(兴飞)	LCSC	C492401	系统匹配	1x2P 间距:2.54mm 方针 直插	插针结构:1x2P 间距:2.54mm 圆针/方针:方针 安装方式:直插 排数:单排 总PIN位数:2P 配合针长度:6mm 塑高:2.5mm 端接针长度:3mm 触头材质:黄铜 工作温度:-40℃~+105℃ 颜色:黑色	连接器	C492401	https://item.szlcsc.com/502957.html	现货	4小时内发货	50	2000	994600	50	0.08132	0	4.07	nan	PZ254V-11-02P	XFCN(兴飞)	插件,P=2.54mm
5	U2,U3,Inductor	3	KF301-5.0-2P	KEFA(科发)	LCSC	C474881	系统匹配	5mm 1x2P 排数:1 每排P数:2 直插	结构:1x2P 间距:5mm 颜色:蓝色 安装方式:直插 排数:1 每排PIN数:2 额定电流:17A 额定电压:250V 线规 - AWG:14~22 线规 - 平方毫米:1.5 工作温度:-30℃~+120℃	连接器	C474881	https://item.szlcsc.com/481499.html	现货	4小时内发货	5	1000	69700	10	0.5591	0	5.59	nan	KF301-5.0-2P	KEFA(科发)	插件,P=5mm
6	C3,C4,C5	3	TAJA105K035RNJ	Kyocera AVX	LCSC	C7176	系统匹配	1uF ±10% 35V	容值:1uF 精度:±10% 额定电压:35V 等效串联电阻(ESR):7.5Ω@100kHz	电容	C7176	https://item.szlcsc.com/7649.html	现货	4小时内发货	2	2000	73430	10	0.8816	0	8.82	nan	TAJA105K035RNJ	Kyocera AVX	CASE-A-3216-18(mm)
7	Q2	1	NTZD3154NT1G	onsemi(安森美)	LCSC	C145189	系统匹配	2个N沟道 耐压:20V 电流:540mA	数量:2个N沟道 漏源电压(Vdss):20V 连续漏极电流(Id):540mA 导通电阻(RDS(on)):900mΩ@1.8V,350mA 耗散功率(Pd):250mW 阈值电压(Vgs(th)):1V@250uA	三极管/MOS管/晶体管	C145189	https://item.szlcsc.com/156521.html	现货	4小时内发货	10	4000	7290	10	0.2624	0	2.62	nan	NTZD3154NT1G	onsemi(安森美)	SOT-563
8	Q3,Q4	2	CSD18511Q5A	TI(德州仪器)	LCSC	C701747	系统匹配	1个N沟道 耐压:40V 电流:100A	数量:1个N沟道 漏源电压(Vdss):40V 连续漏极电流(Id):159A 导通电阻(RDS(on)):1.9mΩ@10V 耗散功率(Pd):104W 阈值电压(Vgs(th)):1.8V	三极管/MOS管/晶体管	C701747	https://item.szlcsc.com/736823.html	现货	4小时内发货	1	2500	514	6	6.46	0	38.76	nan	CSD18511Q5A	TI(德州仪器)	SON-8(5x6)
9	U8,U9	2	LM74670QDGKTQ1	TI(德州仪器)	LCSC	C2653685	系统匹配	零IQ智能二极管整流器控制器	nan	电源管理	C2653685	https://item.szlcsc.com/2745594.html	现货	4小时内发货	1	250	54	6	15.64	0	93.84	nan	LM74670QDGKTQ1	TI(德州仪器)	VSSOP-8
10	C18,C19,C20	3	CL21B105KBFNNNE	SAMSUNG(三星)	LCSC	C28323	系统匹配	1uF ±10% 50V	容值:1uF 精度:±10% 额定电压:50V 温度系数:X7R	电容	C28323	https://item.szlcsc.com/29074.html	现货	4小时内发货	20	2000	4435600	20	0.0593	0	1.19	nan	CL21B105KBFNNNE	SAMSUNG(三星)	0805
11	CN2,CN14	2	B2B-XH-A(LF)(SN)	JST	LCSC	C158012	系统匹配	1x2P 间距:2.5mm 直插 系列:XH	插针结构:1x2P 间距:2.5mm 安装方式:直插 参考系列:XH 总PIN数:2P 排数:1 每排PIN数:2 额定电流:3A 触头材质:黄铜 触头镀层:锡 工作温度:-25℃~+85℃	连接器	C158012	https://item.szlcsc.com/169360.html	现货	4小时内发货	20	1000	408060	20	0.2252	0	4.5	nan	B2B-XH-A(LF)(SN)	JST	插件,P=2.5mm
12	D12	1	SS14	onsemi(安森美)	LCSC	C83852	系统匹配	电压:40V 电流:1A	正向压降(Vf):500mV@1A 直流反向耐压(Vr):40V 整流电流:1A	二极管	C83852	https://item.szlcsc.com/85019.html	现货	4小时内发货	5	7500	96285	5	0.7449	0	3.72	nan	SS14	onsemi(安森美)	SMA(DO-214AC)
13	H1,H4,H11	3	PZ254V-11-02P	XFCN(兴飞)	LCSC	C492401	系统匹配	1x2P 间距:2.54mm 方针 直插	插针结构:1x2P 间距:2.54mm 圆针/方针:方针 安装方式:直插 排数:单排 总PIN位数:2P 配合针长度:6mm 塑高:2.5mm 端接针长度:3mm 触头材质:黄铜 工作温度:-40℃~+105℃ 颜色:黑色	连接器	C492401	https://item.szlcsc.com/502957.html	现货	4小时内发货	50	2000	994600	50	0.08132	0	4.07	nan	PZ254V-11-02P	XFCN(兴飞)	插件,P=2.54mm
14	Inductor1,U2,U20	3	KF301-5.0-2P	KEFA(科发)	LCSC	C474881	系统匹配	5mm 1x2P 排数:1 每排P数:2 直插	结构:1x2P 间距:5mm 颜色:蓝色 安装方式:直插 排数:1 每排PIN数:2 额定电流:17A 额定电压:250V 线规 - AWG:14~22 线规 - 平方毫米:1.5 工作温度:-30℃~+120℃	连接器	C474881	https://item.szlcsc.com/481499.html	现货	4小时内发货	5	1000	69700	10	0.5591	0	5.59	nan	KF301-5.0-2P	KEFA(科发)	插件,P=5mm
15	Q2	1	NTZD3154NT1G	onsemi(安森美)	LCSC	C145189	系统匹配	2个N沟道 耐压:20V 电流:540mA	数量:2个N沟道 漏源电压(Vdss):20V 连续漏极电流(Id):540mA 导通电阻(RDS(on)):900mΩ@1.8V,350mA 耗散功率(Pd):250mW 阈值电压(Vgs(th)):1V@250uA	三极管/MOS管/晶体管	C145189	https://item.szlcsc.com/156521.html	现货	4小时内发货	10	4000	7290	10	0.2624	0	2.62	nan	NTZD3154NT1G	onsemi(安森美)	SOT-563
16	Q5,Q6	2	2N7002	CJ(江苏长电/长晶)	LCSC	C8545	系统匹配	1个N沟道 耐压:60V 电流:115mA	数量:1个N沟道 漏源电压(Vdss):60V 连续漏极电流(Id):115mA 导通电阻(RDS(on)):5Ω@10V 耗散功率(Pd):225mW 阈值电压(Vgs(th)):2.5V	三极管/MOS管/晶体管	C8545	https://item.szlcsc.com/9040.html	现货	4小时内发货	50	3000	1252200	50	0.0886	0	4.43	nan	2N7002	CJ(江苏长电/长晶)	SOT-23
17	Q7,Q8	2	BSS84PH6327	Infineon(英飞凌)	LCSC	C152212	系统匹配	1个P沟道 耐压:60V 电流:0.17A	数量:1个P沟道 漏源电压(Vdss):60V 连续漏极电流(Id):170mA 导通电阻(RDS(on)):12Ω@4.5V,0.14A 耗散功率(Pd):360mW 阈值电压(Vgs(th)):2V@20uA	三极管/MOS管/晶体管	C152212	https://item.szlcsc.com/163552.html	现货	4小时内发货	10	3000	13020	10	0.3161	0	3.16	nan	BSS84PH6327	Infineon(英飞凌)	SOT-23
18	Q9	1	CSD18511Q5A	TI(德州仪器)	LCSC	C701747	系统匹配	1个N沟道 耐压:40V 电流:100A	数量:1个N沟道 漏源电压(Vdss):40V 连续漏极电流(Id):159A 导通电阻(RDS(on)):1.9mΩ@10V 耗散功率(Pd):104W 阈值电压(Vgs(th)):1.8V	三极管/MOS管/晶体管	C701747	https://item.szlcsc.com/736823.html	现货	4小时内发货	1	2500	514	3	6.46	0	19.38	nan	CSD18511Q5A	TI(德州仪器)	SON-8(5x6)
19	U21	1	LM74670QDGKTQ1	TI(德州仪器)	LCSC	C2653685	系统匹配	零IQ智能二极管整流器控制器	nan	电源管理	C2653685	https://item.szlcsc.com/2745594.html	现货	4小时内发货	1	250	54	3	15.64	0	46.92	nan	LM74670QDGKTQ1	TI(德州仪器)	VSSOP-8
20	C3,C10,C12,C14	4	CL21B105KBFNNNE	SAMSUNG(三星)	LCSC	C28323	系统匹配	1uF ±10% 50V	容值:1uF 精度:±10% 额定电压:50V 温度系数:X7R	电容	C28323	https://item.szlcsc.com/29074.html	现货	4小时内发货	20	2000	4435600	20	0.0593	0	1.19	nan	CL21B105KBFNNNE	SAMSUNG(三星)	0805
